REMITOS,CANTIDAD
1000025559,8
1000025560,199
1000025561,120
1000025562,252
1000025563,135
1000025564,20
1000025566,17
1000025567,98
1000025568,930
1000025569,120
1000025570,149
1000025571,60
1000025572,332
1000025573,180
1000025574,217
1000025575,92
1000025576,88
1000025577,490
1000025578,1268
1000025579,786
1000025580,545
1000025581,159
1000025582,270
1000025583,90
1000025584,266
1000025585,158
1000025586,40
1000025587,52
1000025588,610
1000025589,97
1000025590,507
1000025591,197
1000025592,121
1000025593,28
1000025594,80
1000025595,54
1000025596,106
1000025597,101
1000025598,362
1000025599,137
1000025600,38
1000025601,30
1000025602,80
1000025603,65
1000025604,120
1000025605,12
1000025606,1955
1000025607,48
1000025608,1093
1000025610,296
1000025611,399
1000025612,128
1000025613,300
1000025614,177
1000025615,24
1000025616,88
1000025617,8
1000025618,28
1000025620,30
1000025621,291
1000025622,31
1000025623,360
1000025624,323
1000025625,68
1000025626,188
1000025627,124
1000025628,192
1000025629,20
1000025630,30
1000025631,3
1000025632,57
1000025633,210
1000025635,42
1000025636,402
1000025637,122
1000025638,232
1000025639,200
1000025640,186
1000025641,60
1000025642,50
1000025643,16
1000025644,100
1000025645,40
1000025646,9
1000025647,434
1000025648,22
1000025649,100
1000025650,818
1000025651,84
1000025652,152
1000025653,67
1000025654,135
1000025655,60
1000025656,50
1000025657,50
1000025658,5
1000025659,9
1000025660,54
1000025661,262
1000025662,271
1000025663,480
1000025664,60
1000025665,93
1000025666,130
1000025667,6
1000025668,762
1000025670,20
1000025671,20
1000025672,16
1000025673,520
1000025674,150
1000025675,152
1000025676,1
1000025677,80
1000025678,50
1000025679,31
1000025680,70
1000025681,120
1000025682,306
1000025683,131
1000025684,594
1000025685,109
1000025686,38
1000025687,165
1000025688,83
1000025690,52
1000025691,47
1000025692,424
1000025694,256
1000025695,86
1000025696,412
1000025697,225
1000025699,290
1000025701,60
1000025702,50
1000025703,160
1000025704,366
1000025705,1909
1000025706,1339
1000025707,77
1000025708,614
1000025709,197
1000025710,123
1000025711,15
1000025712,155
1000025713,27
1000025714,450
1000025715,577
1000025716,929
1000025717,1536
1000025718,467
